name	N	oddErrSum	rectArea	rectDensity	eucErrSum	circArea	circDensity	size	rndPathMedian	rndPathMean	rndPathSd
2-square	4	2	1	4	2.82842712474619	1.5707963267949	2.54647908947033	(1;1)	4.82843	4.551693	0.390737
3-square	9	8	4	2.25	9.65685424949238	6.28318530717959	1.43239448782706	(2;2)	14.7148	14.70944	1.43727
4-square	16	20	9	1.77777777777778	23.9628191396583	14.1371669411541	1.13176848420903	(3;3)	34.3175	34.26638	2.945173
5-square	25	40	16	1.5625	46.8591065684755	25.1327412287183	0.994718394324346	(4;4)	66.4333	66.35159	4.897319
6-square	36	70	25	1.44	81.8248403971416	39.2699081698724	0.916732472209317	(5;5)	114.163	114.0534	7.275674
7-square	49	112	36	1.36111111111111	129.972300802012	56.5486677646163	0.866510245722541	(6;6)	180.68	180.5442	10.11048
8-square	64	168	49	1.30612244897959	194.780495009453	76.9690200129499	0.831503376153576	(7;7)	269.1	268.9444	13.33924
9-square	81	240	64	1.265625	277.361650444919	100.530964914873	0.80572189940272	(8;8)	382.552	382.366	17.05423
10-square	100	330	81	1.23456790123457	381.194749174653	127.234502470387	0.785950336256273	(9;9)	524.086	523.8946	21.16842
11-square	121	440	100	1.21	507.392005316425	157.07963267949	0.770309924564773	(10;10)	696.995	696.7604	25.75453
12-square	144	572	121	1.1900826446281	659.432393369782	190.066355542182	0.75763014232175	(11;11)	904.261	904.0363	30.73977
13-square	169	728	144	1.17361111111111	838.428122893131	226.194671058465	0.74714403840362	(12;12)	1149.02	1148.808	36.19462
14-square	196	910	169	1.15976331360947	1047.85816550635	265.464579228338	0.738328256710331	(13;13)	1434.69	1434.432	42.05592
15-square	225	1120	196	1.14795918367347	1288.83472887673	307.8760800518	0.730813514197479	(14;14)	1763.92	1763.566	48.37299
